date,x1,x2,x3,x4,x5,mega,mult
210302,4,8,13,34,64,18,2
210226,11,15,37,62,64,5,2
210223,5,7,9,20,57,15,3
210219,27,32,47,50,53,4,4
210216,1,36,44,54,66,10,3
210212,5,14,24,25,27,14,3
210209,7,18,21,31,40,9,4
210205,14,17,28,29,44,2,4
210202,13,37,38,40,67,10,2
210129,4,44,58,59,70,3,3
210126,29,49,56,66,67,24,3
210122,4,26,42,50,60,24,2
210119,10,19,26,28,50,16,2
210115,3,11,12,38,43,15,4
210112,12,14,26,28,33,9,2
210108,3,6,16,18,58,11,2
210105,20,43,51,55,57,4,2
210101,8,24,53,68,69,7,5
201229,1,31,35,48,62,19,3
201225,17,23,36,69,70,19,2
201222,29,53,56,59,67,21,2
201218,7,15,25,51,60,5,3
201215,1,10,18,20,46,15,2
201211,19,31,37,55,67,25,4
201208,15,19,33,39,68,25,3
201204,3,19,24,44,50,8,3
201201,7,33,53,61,65,14,2
201127,4,10,27,35,58,10,2
201124,9,15,34,61,64,6,2
201120,26,33,45,61,68,17,3
201117,8,13,35,46,68,16,3
201113,6,7,14,28,59,7,2
201110,23,45,53,58,62,13,5
201106,18,24,27,34,60,2,2
201103,7,31,44,45,55,19,3
201030,14,19,34,39,59,11,2
201027,6,13,34,46,62,1,3
201023,18,34,44,60,69,22,2
201020,46,54,57,58,66,10,3
201016,27,32,50,52,57,12,5
201013,11,44,45,46,70,25,2
201009,5,11,25,27,64,13,2
201006,15,16,18,39,59,17,3
201002,9,38,47,49,68,25,2
200929,14,39,43,44,67,19,3
200925,20,36,37,48,67,16,2
200922,36,43,44,55,68,12,4
200918,26,29,41,52,64,11,3
200915,25,28,38,59,62,22,4
200911,3,15,42,48,56,13,2
200908,7,10,15,31,57,21,2
200904,19,22,24,28,53,25,3
200901,15,25,26,38,47,22,4
200828,3,9,50,53,64,1,3
200825,8,10,15,17,57,12,3
200821,11,15,31,42,63,14,2
200818,4,18,26,27,58,23,4
200814,3,24,29,42,47,13,2
200811,8,22,29,43,56,9,4
200807,4,44,53,64,70,3,2
200804,2,22,30,42,62,20,3
200731,12,35,46,48,69,23,2
200728,17,20,27,31,34,19,4
200724,8,33,39,54,58,17,3
200721,14,25,26,41,43,15,3
200717,12,13,21,46,57,21,3
200714,6,26,55,56,64,22,4
200710,10,15,20,49,53,22,5
200707,16,20,25,30,43,18,3
200703,20,40,44,45,50,24,2
200630,9,16,29,37,53,11,2
200626,19,33,37,56,57,6,2
200623,6,20,37,40,48,15,3
200619,11,34,36,52,66,7,2
200616,21,23,33,35,42,6,3
200612,9,14,57,67,70,2,3
200609,1,5,9,10,23,22,2
200605,32,35,37,47,55,22,3
200602,9,20,23,26,29,8,3
200529,10,13,32,41,51,3,2
200526,34,52,58,59,62,4,3
200522,8,10,20,44,46,18,4
200519,8,19,25,36,66,9,2
200515,11,17,32,33,46,25,3
200512,7,16,27,44,52,5,5
200508,5,20,22,61,70,4,2
200505,7,13,17,21,45,14,2
200501,28,30,31,35,66,14,2
200428,13,19,53,54,63,17,3
200424,1,27,32,60,67,18,2
200421,13,15,24,67,70,17,2
200417,13,35,39,46,55,14,4
200414,29,47,65,69,70,7,4
200410,2,11,21,57,60,13,2
200407,25,33,43,51,68,20,2
200403,24,38,44,57,58,17,4
200331,8,17,51,57,70,2,4
200327,3,25,28,50,60,1,4
200324,2,8,16,18,31,14,2
200320,34,35,41,45,54,5,4
200317,20,27,28,58,59,25,3
200313,7,22,37,43,44,22,4
200310,6,17,48,54,69,12,5
200306,15,48,56,58,70,4,4
200303,8,12,33,56,64,2,2
200228,2,3,14,41,64,17,2
200225,2,9,43,49,63,15,2
200221,4,7,13,16,60,6,4
200218,6,12,39,61,70,4,3
